"REGION","CHEFLIEU","TNCC","NCC","NCCENR","reg_spf","REG_SPF1","REG_SPF2","reg_spf2","abb"
1,"97105",3,"GUADELOUPE","Guadeloupe","Guadeloupe","GUADELOUPE","GUADELOUPE","Guadeloupe","GUA"
2,"97209",3,"MARTINIQUE","Martinique","Martinique","MARTINIQUE","MARTINIQUE","Martinique","MAR"
3,"97302",3,"GUYANE","Guyane","Guyane","GUYANE","GUYANE","Guyane","GUY"
4,"97411",0,"LA REUNION","La Réunion","La Reunion","LA REUNION","LA REUNION","La Réunion","RUN"
6,"97608",0,"MAYOTTE","Mayotte","Mayotte","MAYOTTE","MAYOTTE","Mayotte","MAY"
11,"75056",1,"ILE-DE-FRANCE","Île-de-France","Ile de france","ILE DE FRANCE","ILE DE FRANCE","Île-de-France","IDF"
24,"45234",2,"CENTRE-VAL DE LOIRE","Centre-Val de Loire","Centre-Val-de-Loire","CENTRE VAL DE LOIRE","CENTRE VAL DE LOIRE","Centre-Val-de-Loire","CVL"
27,"21231",0,"BOURGOGNE-FRANCHE-COMTE","Bourgogne-Franche-Comté","Bourgogne-Franche Comté","BOURGOGNE FRANCHE COMTE","BOURGOGNE FRANCHE COMTE","Bourgogne-Franche Comté","BFC"
28,"76540",0,"NORMANDIE","Normandie","Normandie","NORMANDIE","NORMANDIE","Normandie","NOR"
32,"59350",2,"NORD-PAS-DE-CALAIS-PICARDIE","Nord-Pas-de-Calais-Picardie","Hauts-de-France","HAUTS DE FRANCE","HAUTS DE FRANCE","Hauts-de-France","HDF"
44,"67482",1,"ALSACE-CHAMPAGNE-ARDENNE-LORRAINE","Alsace-Champagne-Ardenne-Lorraine","Grand-Est","GRAND EST","GRAND EST","Grand-Est","GES"
52,"44109",4,"PAYS DE LA LOIRE","Pays de la Loire","Pays de la Loire","PAYS DE LA LOIRE","PAYS DE LA LOIRE","Pays de la Loire","PDL"
53,"35238",0,"BRETAGNE","Bretagne","Bretagne","BRETAGNE","BRETAGNE","Bretagne","BRE"
75,"33063",1,"AQUITAINE-LIMOUSIN-POITOU-CHARENTES","Aquitaine-Limousin-Poitou-Charentes","Nouvelle-Aquitaine","NOUVELLE AQUITAINE","NOUVELLE AQUITAINE","Nouvelle-Aquitaine","NAQ"
76,"31555",2,"LANGUEDOC-ROUSSILLON-MIDI-PYRENEES","Languedoc-Roussillon-Midi-Pyrénées","Occitanie","OCCITANIE","OCCITANIE","Occitanie","OCC"
84,"69123",1,"AUVERGNE-RHONE-ALPES","Auvergne-Rhône-Alpes","Auvergne-Rhone Alpes","AUVERGNE RHONE ALPES","AUVERGNE RHONE ALPES","Auvergne-Rhône-Alpes","ARA"
93,"13055",0,"PROVENCE-ALPES-COTE D'AZUR","Provence-Alpes-Côte d'Azur","PACA","PACA","PROVENCE ALPES COTE D'AZUR","Provence-Alpes-Côte d'Azur","PAC"
94,"2A004",0,"CORSE","Corse","Corse","CORSE","CORSE","Corse","COR"
